date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:46	90826/90826	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:45%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=catering	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/contentfdd5.html	(from https://yogurtworld.co.kr/)
11:51:47	3232/3232	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:45%20GMT	https://yogurtworld.co.kr/bbs/board.php?bo_table=main_members	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/board94af.html	(from https://yogurtworld.co.kr/)
11:51:47	275/275	---M--	200	added ('OK')	image/png	etag:%22113-61d56ba99d532%22	https://yogurtworld.co.kr/images/header_m_05.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/header_m_05.png	(from https://yogurtworld.co.kr/)
11:51:47	2736/2736	---M--	200	added ('OK')	image/jpeg	etag:%22ab0-61d56ba9ac37a%22	https://yogurtworld.co.kr/images/header_m_10.jpg	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/header_m_10.jpg	(from https://yogurtworld.co.kr/)
11:51:47	1183/1183	---M--	200	added ('OK')	image/png	etag:%2249f-61d56baa7fa4b%22	https://yogurtworld.co.kr/images/header_m_07.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/header_m_07.png	(from https://yogurtworld.co.kr/)
11:51:47	3882/3882	---M--	200	added ('OK')	image/png	etag:%22f2a-61d56ba918c1a%22	https://yogurtworld.co.kr/images/header_m_08.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/header_m_08.png	(from https://yogurtworld.co.kr/)
11:51:48	6126/6126	---M--	200	added ('OK')	image/png	etag:%2217ee-61d56ba8dd2f9%22	https://yogurtworld.co.kr/images/header_m_09.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/header_m_09.png	(from https://yogurtworld.co.kr/)
11:51:48	6349/6349	---M--	200	added ('OK')	image/png	etag:%2218cd-61d7b6f9f11eb%22	https://yogurtworld.co.kr/images/01_nav_01.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/01_nav_01.png	(from https://yogurtworld.co.kr/)
11:51:48	1964/1964	---M--	200	added ('OK')	image/png	etag:%227ac-61d56ba9abf92%22	https://yogurtworld.co.kr/images/01_nav_02.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/01_nav_02.png	(from https://yogurtworld.co.kr/)
11:51:48	90826/90826	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:47%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=catering&id=con11	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content8708.html	(from https://yogurtworld.co.kr/)
